id;name;performer;release_year;disk_count;medium;label;state;added
1;cross-platform Bedfordshire;schemas FTP;Fresh calculating leading edge;Infrastructure Awesome Granite Chair Fantastic;schemas Agent;Sierra Leone IB;OK;2020-09-28T01:22:16
2;embrace Kenyan Shilling;Movies;Practical Forward;Jersey transparent;Riel;Division client-driven compress;LOST;2020-09-28T07:54:20
3;payment;e-enable Terrace HDD;end-to-end;Auto Loan Account Keyboard;connecting Credit Card Account;Fields deposit Rustic Concrete Mouse;EXPECTED;2020-09-28T00:57:04
4;Missouri real-time;SSL Generic;Shirt Visionary Turnpike;Practical;Generic deploy;Auto Loan Account;LOST;2020-09-28T07:35:31
5;methodologies frictionless;Engineer Rubber Concrete;Bedfordshire capacitor;Planner;Technician Plastic COM;Jewelery Generic Concrete Computer local;UNDEFINED;2020-09-28T02:12:37
6;24/365 channels;Rubber Buckinghamshire;Consultant Sleek Frozen Tuna Reactive;Practical Granite Salad solid state;input application;Hat cyan programming;EXPECTED;2020-09-28T05:20:38
7;Savings Account Locks;Incredible drive;Health;Equatorial Guinea Algerian Dinar;Intelligent implementation transition;virtual;EXPECTED;2020-09-27T17:18:48
8;overriding dedicated;circuit;Incredible;Mission Kansas;Ranch;Sweden customized deposit;UNDEFINED;2020-09-27T20:25:39
9;Object-based;Sleek Cross-group;Cambridgeshire Orchestrator;Plastic application Object-based;microchip;Organized Grocery Fantastic;EXPECTED;2020-09-28T05:51:19
10;Car Fort;Cambridgeshire Egyptian Pound infrastructure;transmitting National CSS;RSS;Plastic;deposit;OK;2020-09-27T22:52:23
